"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY MIDCAP LIQUID 15","12,192.40","-1.63","12,315.30","12,324.45","12,083.45","-","12,394.55","12,394.55","12,739.40","13,107.15","11,191.75","14,941.65","10,349.60","8.94","-6.98"
"NIFTY MNC","24,934.40","-2.72","25,472.15","25,474.80","24,895.75","-","25,632.85","25,632.85","25,873.05","26,838.25","25,090.65","32,841.15","24,338.95","-0.62","-7.09"
"NIFTY PSE","8,064.05","-2.61","8,231.50","8,239.40","7,998.45","-","8,279.85","8,279.85","8,569.35","8,871.90","9,138.85","11,814.60","7,998.45","-11.76","-9.11"
"NIFTY SERVICES SECTOR","29,406.70","-1.89","29,776.20","29,818.35","29,347.80","-","29,973.20","29,973.20","30,283.45","30,463.60","27,683.95","33,791.15","26,535.15","6.22","-3.47"
"NIFTY100 ESG SECTOR LEADERS","3,655.05","-1.92","3,706.80","3,709.10","3,649.80","-","3,726.50","3,726.50","3,773.30","3,821.70","3,638.70","-","-","0.45","-4.36"
"NIFTY INDIA DIGITAL","8,076.40","-3.73","8,301.95","8,309.25","8,042.45","-","8,389.55","8,389.55","8,675.65","9,053.05","7,781.65","10,152.15","4,924.40","3.79","-10.79"
"NIFTY100 ESG","4,312.10","-2.44","4,394.60","4,395.25","4,306.80","-","4,420.05","4,420.05","4,484.25","4,541.60","4,325.30","-","-","-0.31","-5.05"
"NIFTY INDIA MANUFACTURING","12,116.85","-2.38","12,343.45","12,343.70","12,078.55","-","12,412.10","12,412.10","12,695.20","13,051.90","11,748.25","-","-","3.14","-7.16"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,023.65","-2.62","14,290.95","14,307.40","13,930.60","-","14,400.90","14,400.90","14,808.85","15,592.00","-","18,764.95","9,887.45","-","-10.06"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","12,865.70","-2.20","13,088.85","13,089.10","12,832.20","-","13,155.45","13,155.45","13,392.80","13,768.75","-","16,253.65","8,394.35","-","-6.56"
